temperature,feels_like,humidity,wind_speed,weather_condition,time_of_day,season,mood,occasion,recommended_top,recommended_bottom,recommended_outer,accessories
36.5,36.0,37,24.9,cloudy,evening,summer,neutral,party,shirt,cotton pants,none,none
33.9,33.2,88,13.5,rain,night,summer,neutral,casual,shirt,pants,none,none
32.6,34.0,70,19.0,clear,night,summer,bad,casual,tank top,shorts,none,sunglasses
35.2,34.2,31,6.4,rain,night,summer,bad,formal,tank top,pants,none,none
30.7,30.2,56,22.5,rain,evening,summer,neutral,work,tank top,pants,none,none
34.5,33.3,72,22.4,cloudy,morning,summer,good,formal,kurta,cotton pants,none,none
33.0,31.8,39,9.5,clear,evening,summer,neutral,casual,t-shirt,pants,none,sunglasses
31.9,31.2,72,9.6,rain,night,summer,bad,formal,kurta,shorts,none,none
35.0,35.0,90,16.0,rain,night,summer,bad,formal,tank top,cotton pants,none,none
38.6,38.9,45,22.3,cloudy,afternoon,summer,neutral,work,t-shirt,cotton pants,none,none
39.6,41.1,68,19.2,cloudy,afternoon,summer,good,work,tank top,pants,none,none
32.7,34.0,54,16.3,clear,afternoon,summer,neutral,formal,tank top,skirt,none,sunglasses
30.2,29.1,88,12.8,cloudy,night,summer,good,casual,shirt,shorts,none,none
37.6,38.2,66,24.8,clear,afternoon,summer,neutral,work,tank top,cotton pants,none,sunglasses
32.0,31.2,73,15.1,clear,evening,summer,neutral,casual,kurta,cotton pants,none,sunglasses
29.5,30.3,72,16.3,clear,morning,summer,bad,casual,t-shirt,pants,none,sunglasses
33.5,32.9,72,11.1,clear,morning,summer,neutral,formal,kurta,skirt,none,sunglasses
34.7,35.5,88,23.5,cloudy,evening,summer,bad,formal,shirt,pants,none,none
30.7,30.1,59,5.4,cloudy,afternoon,summer,neutral,party,kurta,skirt,none,none
28.0,27.0,74,17.6,clear,night,summer,bad,formal,t-shirt,pants,none,sunglasses
39.1,39.2,30,16.8,clear,evening,summer,bad,formal,kurta,pants,none,sunglasses
30.7,31.7,34,21.8,cloudy,night,summer,good,party,shirt,shorts,none,none
38.7,38.2,35,18.6,rain,afternoon,summer,good,casual,kurta,cotton pants,none,none
37.2,37.8,34,22.2,rain,evening,summer,good,casual,shirt,skirt,none,none
29.8,30.3,62,14.2,clear,afternoon,summer,good,party,shirt,shorts,none,sunglasses
39.5,39.4,87,23.9,clear,morning,summer,neutral,formal,tank top,shorts,none,sunglasses
29.1,29.8,48,19.4,cloudy,morning,summer,good,casual,shirt,skirt,none,none
29.9,30.1,67,24.0,cloudy,afternoon,summer,bad,work,kurta,pants,none,none
29.6,29.8,30,23.3,clear,afternoon,summer,neutral,work,t-shirt,shorts,none,sunglasses
29.4,28.9,65,6.2,cloudy,evening,summer,good,work,kurta,pants,none,none
32.3,31.1,35,11.3,rain,evening,summer,good,party,kurta,skirt,none,none
32.7,31.4,80,7.9,clear,night,summer,bad,formal,shirt,cotton pants,none,sunglasses
38.2,38.3,88,16.1,clear,morning,summer,neutral,work,tank top,shorts,none,sunglasses
28.5,28.6,84,10.5,cloudy,afternoon,summer,good,formal,tank top,cotton pants,none,none
38.7,38.0,71,18.4,cloudy,morning,summer,neutral,formal,shirt,shorts,none,none
33.6,35.0,51,7.5,rain,afternoon,summer,bad,casual,kurta,shorts,none,none
34.9,36.4,86,11.6,clear,evening,summer,bad,work,tank top,shorts,none,sunglasses
29.7,31.1,87,5.1,rain,night,summer,neutral,casual,tank top,pants,none,none
38.2,38.0,35,8.9,clear,afternoon,summer,bad,formal,t-shirt,cotton pants,none,sunglasses
38.6,38.5,86,18.8,clear,night,summer,bad,casual,kurta,shorts,none,sunglasses
38.0,38.6,33,22.4,cloudy,morning,summer,good,party,kurta,pants,none,none
35.8,34.7,37,21.8,clear,evening,summer,bad,party,t-shirt,pants,none,sunglasses
34.0,33.2,53,23.1,rain,morning,summer,good,party,tank top,shorts,none,none
36.5,36.9,51,6.1,clear,morning,summer,good,party,kurta,cotton pants,none,sunglasses
34.9,34.2,61,8.7,cloudy,morning,summer,good,formal,tank top,pants,none,none
36.1,35.7,75,22.7,clear,afternoon,summer,good,formal,t-shirt,skirt,none,sunglasses
33.7,35.2,76,20.6,cloudy,afternoon,summer,good,formal,shirt,skirt,none,none
39.2,40.7,67,19.9,clear,evening,summer,good,casual,t-shirt,shorts,none,sunglasses
31.1,32.0,39,10.9,rain,afternoon,summer,bad,formal,tank top,shorts,none,none
38.7,38.2,81,5.1,rain,afternoon,summer,bad,formal,t-shirt,shorts,none,none
30.9,31.9,66,14.7,cloudy,evening,summer,good,party,t-shirt,pants,none,none
37.9,36.6,49,24.2,clear,evening,summer,bad,party,t-shirt,skirt,none,sunglasses
38.5,40.0,50,11.2,clear,afternoon,summer,neutral,casual,t-shirt,skirt,none,sunglasses
33.0,33.0,45,18.4,clear,morning,summer,neutral,party,shirt,shorts,none,sunglasses
39.3,38.6,77,24.2,rain,afternoon,summer,good,casual,shirt,cotton pants,none,none
34.4,33.6,50,15.1,cloudy,afternoon,summer,bad,party,tank top,skirt,none,none
34.8,33.6,32,24.3,rain,night,summer,neutral,party,shirt,shorts,none,none
39.5,40.8,86,20.5,rain,morning,summer,good,casual,tank top,cotton pants,none,none
29.1,29.9,66,23.5,cloudy,morning,summer,bad,party,shirt,skirt,none,none
34.8,34.9,51,18.9,cloudy,afternoon,summer,good,work,t-shirt,shorts,none,none
33.1,32.4,60,24.6,cloudy,evening,summer,bad,formal,tank top,skirt,none,none
35.3,36.4,81,8.3,clear,morning,summer,good,work,tank top,cotton pants,none,sunglasses
34.9,36.3,55,12.9,rain,morning,summer,bad,work,t-shirt,shorts,none,none
35.7,35.5,68,12.2,rain,morning,summer,neutral,formal,tank top,pants,none,none
37.2,36.9,69,17.8,cloudy,evening,summer,neutral,casual,shirt,skirt,none,none
36.4,37.7,81,12.5,rain,morning,summer,bad,formal,kurta,cotton pants,none,none
34.4,35.5,79,18.1,clear,night,summer,bad,work,shirt,pants,none,sunglasses
29.4,28.5,57,6.6,clear,morning,summer,good,party,kurta,shorts,none,sunglasses
31.5,32.0,86,14.7,clear,evening,summer,good,party,kurta,pants,none,sunglasses
39.2,37.9,45,17.5,clear,evening,summer,bad,casual,t-shirt,cotton pants,none,sunglasses
35.0,34.0,36,22.9,clear,night,summer,neutral,casual,kurta,shorts,none,sunglasses
30.5,31.2,75,17.0,clear,afternoon,summer,neutral,formal,kurta,pants,none,sunglasses
30.6,29.3,41,11.1,rain,afternoon,summer,bad,work,tank top,pants,none,none
33.8,35.0,62,5.7,clear,morning,summer,bad,formal,shirt,shorts,none,sunglasses
39.3,38.6,35,22.1,cloudy,morning,summer,good,work,t-shirt,pants,none,none
35.2,35.8,62,17.7,cloudy,evening,summer,bad,formal,tank top,cotton pants,none,none
28.8,29.7,67,18.3,rain,evening,summer,good,casual,tank top,pants,none,none
33.8,33.3,70,22.6,clear,night,summer,bad,casual,shirt,skirt,none,sunglasses
38.4,38.4,33,17.4,cloudy,afternoon,summer,good,casual,shirt,shorts,none,none
28.3,29.7,35,19.8,cloudy,afternoon,summer,bad,work,kurta,skirt,none,none
39.9,41.1,51,19.3,rain,night,summer,good,formal,shirt,pants,none,none
40.0,39.3,75,6.3,rain,morning,summer,neutral,formal,kurta,pants,none,none
37.9,37.7,68,22.8,rain,afternoon,summer,neutral,work,t-shirt,skirt,none,none
39.4,38.3,39,24.9,cloudy,afternoon,summer,good,casual,tank top,cotton pants,none,none
32.5,33.7,35,13.7,cloudy,morning,summer,good,work,t-shirt,cotton pants,none,none
29.5,29.1,76,8.6,cloudy,afternoon,summer,neutral,formal,tank top,cotton pants,none,none
31.3,32.1,64,17.0,cloudy,night,summer,neutral,casual,t-shirt,pants,none,none
34.9,33.5,79,8.6,rain,night,summer,good,formal,shirt,cotton pants,none,none
33.3,33.5,59,21.1,clear,morning,summer,good,casual,kurta,skirt,none,sunglasses
39.9,40.4,59,7.9,clear,afternoon,summer,neutral,casual,t-shirt,pants,none,sunglasses
37.0,37.2,35,11.9,cloudy,night,summer,neutral,work,shirt,cotton pants,none,none
38.7,38.1,81,24.9,cloudy,afternoon,summer,good,party,shirt,pants,none,none
33.1,33.7,66,16.9,clear,night,summer,neutral,party,kurta,skirt,none,sunglasses
29.9,31.1,79,21.4,rain,evening,summer,good,casual,t-shirt,shorts,none,none
30.8,31.5,51,11.1,cloudy,afternoon,summer,bad,party,kurta,pants,none,none
28.8,28.1,48,13.6,clear,night,summer,bad,formal,tank top,skirt,none,sunglasses
30.8,31.4,87,8.4,clear,evening,summer,bad,casual,kurta,skirt,none,sunglasses
35.5,35.6,51,7.6,cloudy,night,summer,neutral,party,t-shirt,cotton pants,none,none
28.7,29.5,90,15.8,cloudy,evening,summer,good,casual,kurta,pants,none,none
28.9,28.6,76,18.5,rain,evening,summer,bad,work,tank top,cotton pants,none,none
37.9,38.2,59,10.4,rain,afternoon,summer,good,party,shirt,cotton pants,none,none
36.3,35.3,62,12.7,rain,morning,summer,good,formal,kurta,skirt,none,none
39.7,39.8,81,17.5,clear,night,summer,bad,party,tank top,shorts,none,sunglasses
30.6,32.1,79,24.1,rain,afternoon,summer,good,party,shirt,cotton pants,none,none
28.3,27.3,69,16.9,cloudy,afternoon,summer,bad,casual,shirt,shorts,none,none
33.0,33.0,30,18.1,rain,night,summer,good,party,t-shirt,pants,none,none
38.1,39.2,59,7.6,cloudy,evening,summer,neutral,work,t-shirt,pants,none,none
36.0,35.4,56,14.6,clear,morning,summer,bad,work,t-shirt,cotton pants,none,sunglasses
36.4,35.5,62,15.3,clear,evening,summer,good,formal,shirt,shorts,none,sunglasses
38.8,39.8,39,20.9,clear,evening,summer,bad,formal,kurta,cotton pants,none,sunglasses
33.1,34.2,73,10.9,clear,afternoon,summer,neutral,formal,shirt,skirt,none,sunglasses
30.5,29.9,87,7.0,clear,afternoon,summer,neutral,casual,kurta,shorts,none,sunglasses
39.3,39.2,66,15.5,cloudy,night,summer,neutral,party,t-shirt,skirt,none,none
30.9,31.1,87,16.1,clear,morning,summer,good,work,kurta,shorts,none,sunglasses
38.1,37.1,79,6.8,cloudy,morning,summer,bad,work,tank top,shorts,none,none
30.6,31.1,84,8.6,rain,afternoon,summer,good,formal,kurta,cotton pants,none,none
37.6,36.9,89,10.5,rain,evening,summer,bad,work,tank top,shorts,none,none
31.6,30.4,33,20.7,cloudy,evening,summer,bad,work,kurta,cotton pants,none,none
37.7,37.9,40,8.1,cloudy,afternoon,summer,bad,party,kurta,cotton pants,none,none
38.5,37.3,61,11.6,rain,afternoon,summer,good,party,shirt,shorts,none,none
31.9,31.5,68,20.7,cloudy,afternoon,summer,good,formal,tank top,skirt,none,none
37.6,37.7,73,14.5,clear,evening,summer,neutral,party,kurta,pants,none,sunglasses
29.2,28.8,87,18.2,clear,night,summer,neutral,casual,kurta,shorts,none,sunglasses
32.4,31.6,66,9.7,cloudy,evening,summer,good,party,tank top,cotton pants,none,none
31.6,32.2,77,10.4,clear,evening,summer,neutral,formal,t-shirt,cotton pants,none,sunglasses
37.2,38.4,34,21.2,cloudy,night,summer,neutral,work,t-shirt,pants,none,none
39.8,39.8,86,15.6,clear,afternoon,summer,good,formal,tank top,skirt,none,sunglasses
